Sr. No.,Code,Algorithm
112,"# Python3 program to find
# three element from different
# three arrays such that
# a + b + c is equal to
# given sum

# Function to check if there
# is an element from each
# array such that sum of the
# three elements is equal to
# given sum.
def findTriplet(a1, a2, a3,
                                n1, n2, n3, sum):

        for i in range(0 , n1):
                for j in range(0 , n2):
                        for k in range(0 , n3):
                                if (a1[i] + a2[j] +
                                        a3[k] == sum):
                                        return True

        return False

# Driver Code
a1 = [ 1 , 2 , 3 , 4 , 5 ]
a2 = [ 2 , 3 , 6 , 1 , 2 ]
a3 = [ 3 , 2 , 4 , 5 , 6 ]
sum = 9
n1 = len(a1)
n2 = len(a2)
n3 = len(a3)
print(""Yes"") if findTriplet(a1, a2, a3,
                                                        n1, n2, n3,
                                                        sum) else print(""No"")

# This code is contributed
# by Smitha
","1. Define a function findTriplet that takes in three integer arrays a1, a2, a3, their respective sizes n1, n2, n3, and the integer variable sum.
2. Loop through each element of a1, a2, and a3 using three nested for-loops.
3. If the sum of the current triplet of elements (a1[i], a2[j], a3[k]) is equal to sum, return true.
4. If no such triplet is found, return false.
5. In the main function, define three integer arrays a1, a2, a3, and the integer variable sum.
6. Get the size of each array using sizeof operator and divide it by the size of a single element to get the size of the array in terms of number of elements.
7. Call the findTriplet function with a1, a2, a3, n1, n2, n3, and sum as arguments.
8. If the function returns true, print “Yes“. Otherwise, print “No“."
113,"# Python3 program to find three element
# from different three arrays such
# that a + b + c is equal to
# given sum

# Function to check if there is
# an element from each array such
# that sum of the three elements is
# equal to given sum.
def findTriplet(a1, a2, a3,
                                n1, n2, n3, sum):

        # Store elements of first
        # array in hash
        s = set()

        # sum last two arrays element
        # one by one
        for i in range(n1):
                s.add(a1[i])

        for i in range(n2):
                for j in range(n3):

                        # Consider current pair and
                        # find if there is an element
                        # in a1[] such that these three
                        # form a required triplet
                        if sum - a2[i] - a3[j] in s:
                                return True
        return False

# Driver code
a1 = [1, 2, 3, 4, 5]
a2 = [2, 3, 6, 1, 2]
a3 = [3, 24, 5, 6]
n1 = len(a1)
n2 = len(a2)
n3 = len(a3)
sum = 9
if findTriplet(a1, a2, a3,
                        n1, n2, n3, sum) == True:
        print(""Yes"")
else:
        print(""No"")

# This code is contributed by Shrikant13
","1. Store all elements of first array in hash table
2. Generate all pairs of elements from two arrays using
   nested loop. For every pair (a1[i], a2[j]), check if
   sum - (a1[i] + a2[j]) exists in hash table. If yes
   return true."
114,"# Function to check if x is present in the array or not
def binarysearch(arr, N, x):
        l = 0
        r = N - 1
        while l <= r:
                mid = (l + r) // 2
                # Checking if the middle element is equal to x
                if arr[mid] == x:
                        return True
                elif arr[mid] < x:
                        l = mid + 1
                else:
                        r = mid - 1
        # return True, if element x is present in the array
        # else False
        return False

# Function to check if such triplet (a + b + c = sum) exists
def findTriplet(a1, a2, a3, n1, n2, n3, sum):
        a3.sort() # sort third array(a3) in ascending order for binary search
        # Iterate each element of array a1
        for i in range(n1):
                # Iterate each element of array a2
                for j in range(n2):
                        requiredsum = sum - a1[i] - a2[j]
                        if binarysearch(a3, n3, requiredsum):
                                return True # return True if Triplet exists
        return False # return False if Triplet doesn't exist

# Driver code
if __name__ == '__main__':
        a1 = [1, 2, 3, 4, 5]
        a2 = [2, 3, 6, 1, 2]
        a3 = [3, 2, 4, 5, 6]
        sum = 9
        n1 = len(a1)
        n2 = len(a2)
        n3 = len(a3)
        # Function call
        if findTriplet(a1, a2, a3, n1, n2, n3, sum):
                print(""YES"") # if Triplet exists, print YES
        else:
                print(""NO"") # else NO
","1. Store all elements of first array in hash table
2. Generate all pairs of elements from two arrays using
   nested loop. For every pair (a1[i], a2[j]), check if
   sum - (a1[i] + a2[j]) exists in hash table. If yes
   return true."
115,"class Node: def __init__(self,data): self.data = data;self.next = None;class CreateList: def __init__(self):self.count = 0;self.head = Node(None);self.tail = Node(None);self.head.next = self.tail;self.tail.next = self.head;def add(self,data):newNode = Node(data);if self.head.data is None:self.head = newNode; self.tail = newNode;newNode.next = self.head; else:def countNodes(self):current = self.head; self.count=self.count+1;while(current.next !=self.head):self.count=self.count+1;current = current.next;print(""Count of nodes present in circular linked list: ""),print(self.count); class CircularLinkedList:cl =CreateList();cl.add(1);cl.add(2);cl.add(4);cl.add(1);cl.add(2);cl.add(3);cl.countNodes();","Define a Node class which represents a node in the list. It has two properties data and next which will point to the next node.Define another class for creating the circular linked list, and it has two nodes: head and tail. It has two methods: add() and display() .add() will add the node to the list:It first checks whether size is null or head is null; then it will insert the node as the head.Both head and tail will point to a newly added node.If the head is not null, the new node will be the new tail, and the new tail will point to the head as it is a circular linked list.a. countNodes() will count the number of nodes present in the list.Define new node current which will point to the head node.Traverse through the list to count the nodes by making the current node to point to next node in the list till current points to head again."
116,a = float(input('Enter first side: ')) b = float(input('Enter second side: ')) c = float(input('Enter third side: ')) s = (a + b + c) / 2 area = (s*(s-a)*(s-b)*(s-c)) ** 0.5 print('The area of the triangle is %0.2f' %area),"Start Input base, height Calculate area = 1/2*base*height print ""Area of Triangle="" area End"
117,"kilometre_1 = float (input (""Please enter the speed of car in Kilometre as a unit: "")) conversion_ratio_1 = 0.621371 miles_1 = kilometre_1 * conversion_ratio_1 print (""The speed value of car in Miles: "", miles_1)","Step 1: We will define the variable for storing the value of kilometre_1 and accepting the input from the user. Step 2: Now, we will define and store the conversion factor into the variable. Step 3: Then, we will define the variable for storing the value of kilometre_1 which is converted into miles. Then in addition we will write the logic of converting kilometre to miles units. Step 4: At last, we will display the converted value by using the print() function."
118,"celsius_1 = float(input(""Temperature value in degree Celsius: "" )) Fahrenheit_1 = (celsius_1 * 1.8) + 32 print('The %.2f degree Celsius is equal to: %.2f Fahrenheit'%(celsius_1, Fahrenheit_1)) print(""----OR----"") celsius_2 = float (input(""Temperature value in degree Celsius: "" )) Fahrenheit_2 = (celsius_2 * 9/5) + 32 print ('The %.2f degree Celsius is equal to: %.2f Fahrenheit'%(celsius_2, Fahrenheit_2))",Create a variable to store the input celsius degree temperature.Use the mathematical formula f=c*1.8+32 to convert the input celsius degree temperature to Fahrenheit degree temperature.Print the Fahrenheit equivalent of the given input celsius degree temperature.
119,"num = int(input(""Enter a number: "")) if num < 0: print(""Enter a positive number"") else:sum = 0 while(num > 0): sum += num num -= 1 print(""The sum is"",sum)",Initialize : sum = 0 Run a loop from x = 1 to n and do following in loop. sum = sum + x
120,"num1 = 12 num2 = 14 for i in range(max(num1, num2), 1 + (num1 * num2)):if i % num1 == i % num2 == 0: lcm = i break print(""LCM of"", num1, ""and"", num2, ""is"", lcm)","1)LCM of two numbers will at least be equal or greater than max(num1, num2)2)Largest possibility of LCM will be num1 * num2"
121,"num1 = 12
 num2 = 14
 for i in range(max(num1, num2), 1 + (num1 * num2), max(num1, num2)):
  if i % num1 == i % num2 == 0:
  lcm = i
  break
 
 print(""LCM of"", num1, ""and"", num2, ""is"", lcm)","Rather than linearly checking for LCM by doing i++. We can do i = i + max
 Starting with i = max (num1, num2)
 The next possibility of LCM will be ‘max’ interval apart"
122,"num1 = 12
 num2 = 14
 
 # Calculating HCF here
 for i in range(1, max(num1, num2)):
  if num1 % i == num2 % i == 0:
  hcf = i
 
 # LCM formula
 lcm = (num1*num2)//hcf
 
 print(""LCM of"", num1, ""and"", num2, ""is"", lcm)","Initialize HCF = 1
 Run a loop in the iteration of (i) between [1, min(num1, num2)]
 Note down the highest number that divides both num1 & num2
 If i satisfies (num1 % i == 0 && num2 % i == 0) then new value of HCF is i
 Use lcm formula :- (num1*num2) / hcf
 Print the output"
123,"def getHCF(num1, num2):
  while num1!=num2:
  if num1>num2:
  num1-=num2
  else:
  num2-=num1
  return num1
 
 
 num1 = 12
 num2 = 14
 
 # Calculating HCF here
 hcf = getHCF(num1, num2)
 
 # LCM formula
 lcm = (num1*num2)//hcf
 
 print(""LCM of"", num1, ""and"", num2, ""is"", lcm)","Run a while loop until num1 is not equals to num2
 If num1>num2 then num1 = num1 – num2
 Else num2 = num2 – num1
 After the loop ends both num1 & num2 stores HCF
 Use LCM formula :- (num1*num2) / hcf
 Print Output"
124,"def getHCF(num1, num2):
  # Everything divides 0
  if num1 == 0 or num2 == 0:
  return num1 + num2
 
  # base case
  if num1 == num2:
  return num1
 
  # num1>num2
  if num1 > num2:
  return getHCF(num1 - num2, num2)
  else:
  return getHCF(num1, num2 - num1)
 
 
 num1 = 12
 num2 = 14
 
 # Calculating HCF here
 hcf = getHCF(num1, num2)
 
 # LCM formula
 lcm = (num1*num2)//hcf
 
 print(""LCM of"", num1, ""and"", num2, ""is"", lcm)","Checked whether any of the input is 0 then return sum of both numbers
 If both input are equal return any of the two numbers
 If num1 is greater than the num2 then Recursively call findHCF(num1 – num2, num2)
 Else Recursively call findHCF(num1, num2-num1)"
125,"num1 = 36
 num2 = 60
 hcf = 1
 
 for i in range(1, min(num1, num2)):
  if num1 % i == 0 and num2 % i == 0:
  hcf = i
 print(""Hcf of"", num1, ""and"", num2, ""is"", hcf)","Initialize HCF = 1
 Run a loop in the iteration of (i) between [1, min(num1, num2)]
 Note down the highest number that divides both num1 & num2
 If i satisfies (num1 % i == 0 and num2 % i == 0) then new value of HCF is i
 Print value of HCF"
126,"num1 = 36
 num2 = 60
 a = num1
 b = num2
 
 while num1 != num2:
  if num1 > num2:
  num1 -= num2
  else:
  num2 -= num1
 
 print(""Hcf of"", a, ""and"", b, ""is"", num1)","Run a while loop until num1 is not equals to num2
 If num1>num2 then num1 = num1 – num2
 Else num2 = num2 – num1
 After the loop ends both num1 & num2 stores HCF"
127,"def findHCF(num1, num2):
  
  # Everything divides 0
  if num1 == 0 or num2 == 0:
  return num1 + num2
  
  # base case
  if num1 == num2:
  return num1
  
  # num1>num2
  if num1 > num2:
  return findHCF(num1 - num2, num2)
  else:
  return findHCF(num1, num2 - num1)
 
 
 num1 = 36
 num2 = 60
 
 print(""Hcf of"", num1, ""and"", num2, ""is"", findHCF(num1, num2))","Checked whether any of the input is 0 then return sum of both numbers
 If both input are equal return any of the two numbers
 If num1 is greater than the num2 then Recursively call findHCF(num1 – num2, num2)
 Else Recursively call findHCF(num1, num2-num1)"
128,"def getHCF(a, b):
  return b == 0 and a or getHCF(b, a % b)
 
 
 num1 = 36
 num2 = 60
 
 print(""Hcf of"", num1, ""and"", num2, ""is"", getHCF(num1, num2))","If b is equals to 0 return a
 Else recursively call the function for value b, a%b and return"
129,"def getHCF(a, b):
  return b == 0 and a or getHCF(b, a % b)
 
 
 num1 = -36
 num2 = 60
 
 # if user enters negative number, we just changing it to positive
 # By definition HCF is the highest positive number that divides both numbers
 # -36 & 60 : HCF = 12 (as highest num that divides both)
 # -36 & -60 : HCF = 12 (as highest num that divides both)
 num1 >= 0 and num1 or -num1
 num2 >= 0 and num2 or -num2
 
 print(""Hcf of"", num1, ""and"", num2, ""is"", getHCF(num1, num2))","If b is equals to 0 return a
 Else recursively call the function for value b, a%b and return"
130,"# Write Python3 code here
# -*- coding: utf-8 -*-

# Example Input
s = ""*-A/BC-/AKL""

# Stack for storing operands
stack = []

operators = set(['+', '-', '*', '/', '^'])

# Reversing the order
s = s[::-1]

# iterating through individual tokens
for i in s:

        # if token is operator
        if i in operators:

                # pop 2 elements from stack
                a = stack.pop()
                b = stack.pop()

                # concatenate them as operand1 +
                # operand2 + operator
                temp = a+b+i
                stack.append(temp)

        # else if operand
        else:
                stack.append(i)

# printing final output
print(*stack)
","1. Read the Prefix expression in reverse order (from right to left)
2. If the symbol is an operand, then push it onto the Stack
3. If the symbol is an operator, then pop two operands from the Stack 
    Create a string by concatenating the two operands and the operator after them. 
    string = operand1 + operand2 + operator 
    And push the resultant string back to Stack
4. Repeat the above steps until end of Prefix expression."
131,"exp = ""45+98-10""
stack = []
i = 0
while i < len(exp):
        if exp[i].isdigit():
                num = int(exp[i])
                i += 1
                while i < len(exp) and exp[i].isdigit():
                        num = num * 10 + int(exp[i])
                        i += 1
                stack.append(num)
        elif exp[i] == ""+"":
                stack.append(""+"")
                i += 1
        elif exp[i] == ""-"":
                stack.append(""-"")
                i += 1
        else:
                i += 1

result = stack[0]
for i in range(1, len(stack), 2):
        if stack[i] == ""+"":
                result += stack[i+1]
        else:
                result -= stack[i+1]

print(""The evaluated result is:"", result)
","1. Take input of the string containing the expression to be evaluated
2. Initialize an empty stack
3. Loop through each character in the string:
a. If the character is a digit, extract the entire number and push it onto the stack
b. If the character is an operator, push it onto the stack
4. While the stack has more than one element:
a. Pop the top two elements from the stack
b. If the top element is an operator, apply it to the two popped elements and push the result onto the stack
c. Otherwise, push the popped elements back onto the stack in the reverse order
5. The final element left on the stack will be the evaluated result
6. Display the result"
132,"import re

def evaluate_expression(expression):
        # Extract numbers and operators from the expression string
        elements = re.findall(r'(\d+|\+|\-|\*|\/)', expression)

        # Initialize the result to the first number
        result = int(elements[0])

        # Apply each operator to the previous result and the current number
        for i in range(1, len(elements), 2):
                operator = elements[i]
                num = int(elements[i+1])
                if operator == '+':
                        result += num
                elif operator == '-':
                        result -= num
                elif operator == '*':
                        result *= num
                elif operator == '/':
                        result /= num

        return result

# Test the function
expression = ""45+98-10""
print(""The original string is:"", expression)
print(""The evaluated result is:"", evaluate_expression(expression))
","1. Import the re module for regular expressions
2. Use re.findall() to extract all the numbers and operators from the expression string and store them in a list
3. Use a loop to iterate through the list and evaluate the expression by applying each operator to the previous result and the current number
4. Return the final result"
133,"# Class to make a Node
class Node:
        #Constructor which assign argument to nade's value
        def __init__(self, value):
                self.value = value
                self.next = None

        # This method returns the string representation of the object.
        def __str__(self):
                return ""Node({})"".format(self.value)
        
        # __repr__ is same as __str__
        __repr__ = __str__


class Stack:
        # Stack Constructor initialise top of stack and counter.
        def __init__(self):
                self.top = None
                self.count = 0
                self.maximum = None
                
        #This method returns the string representation of the object (stack).
        def __str__(self):
                temp=self.top
                out=[]
                while temp:
                        out.append(str(temp.value))
                        temp=temp.next
                out='\n'.join(out)
                return ('Top {} \n\nStack :\n{}'.format(self.top,out))
                
        # __repr__ is same as __str__
        __repr__=__str__
        
        #This method is used to get minimum element of stack
        def getMax(self):
                if self.top is None:
                        return ""Stack is empty""
                else:
                        print(""Maximum Element in the stack is: {}"" .format(self.maximum))



        # Method to check if Stack is Empty or not
        def isEmpty(self):
                # If top equals to None then stack is empty
                if self.top == None:
                        return True
                else:
                # If top not equal to None then stack is empty
                        return False

        # This method returns length of stack        
        def __len__(self):
                self.count = 0
                tempNode = self.top
                while tempNode:
                        tempNode = tempNode.next
                        self.count+=1
                return self.count

        # This method returns top of stack        
        def peek(self):
                if self.top is None:
                        print (""Stack is empty"")
                else:
                        if self.top.value > self.maximum:
                                print(""Top Most Element is: {}"" .format(self.maximum))
                        else:
                                print(""Top Most Element is: {}"" .format(self.top.value))

        #This method is used to add node to stack
        def push(self,value):
                if self.top is None:
                        self.top = Node(value)
                        self.maximum = value
                        
                elif value > self.maximum :
                        temp = (2 * value) - self.maximum
                        new_node = Node(temp)
                        new_node.next = self.top
                        self.top = new_node
                        self.maximum = value
                else:
                        new_node = Node(value)
                        new_node.next = self.top
                        self.top = new_node
                print(""Number Inserted: {}"" .format(value))

        #This method is used to pop top of stack
        def pop(self):
                if self.top is None:
                        print( ""Stack is empty"")
                else:
                        removedNode = self.top.value
                        self.top = self.top.next
                        if removedNode > self.maximum:
                                print (""Top Most Element Removed :{} "" .format(self.maximum))
                                self.maximum = ( ( 2 * self.maximum ) - removedNode )
                        else:
                                print (""Top Most Element Removed : {}"" .format(removedNode))

                                
                        
        
# Driver program to test above class
stack = Stack()

stack.push(3)
stack.push(5)
stack.getMax()
stack.push(7)
stack.push(19)
stack.getMax()        
stack.pop()
stack.getMax()
stack.pop()
stack.peek()

# This code is contributed by Blinkii
","1. If stack is empty, insert x into the stack and make maxEle equal to x.
2. If stack is not empty, compare x with maxEle. Two cases arise:
    a. If x is less than or equal to maxEle, simply insert x.
    b. If x is greater than maxEle, insert (2*x – maxEle) into the stack and make maxEle equal to x. For example, let previous maxEle was 3. Now we want to insert 4. We update maxEle as 4 and insert 2*4 – 3 = 5 into the stack.
3. Remove element from top. Let the removed element be y. Two cases arise:
    a. If y is less than or equal to maxEle, the maximum element in the stack is still maxEle.
    b. If y is greater than maxEle, the maximum element now becomes (2*maxEle – y), so update (maxEle = 2*maxEle – y). This is where we retrieve previous maximum from current maximum and its value in stack. For example, let the element to be removed be 5 and maxEle be 4. We remove 5 and update maxEle as 2*4 – 5 = 3.]"
134,"# Python3 program to implement Queue using
# two stacks with costly enQueue()

class Queue:
        def __init__(self):
                self.s1 = []
                self.s2 = []

        def enQueue(self, x):
                
                # Move all elements from s1 to s2
                while len(self.s1) != 0:
                        self.s2.append(self.s1[-1])
                        self.s1.pop()

                # Push item into self.s1
                self.s1.append(x)

                # Push everything back to s1
                while len(self.s2) != 0:
                        self.s1.append(self.s2[-1])
                        self.s2.pop()

        # Dequeue an item from the queue
        def deQueue(self):
                
                        # if first stack is empty
                if len(self.s1) == 0:
                        print(""Q is Empty"")
        
                # Return top of self.s1
                x = self.s1[-1]
                self.s1.pop()
                return x

# Driver code
if __name__ == '__main__':
        q = Queue()
        q.enQueue(1)
        q.enQueue(2)
        q.enQueue(3)

        print(q.deQueue())
        print(q.deQueue())
        print(q.deQueue())

# This code is contributed by PranchalK
","1. While stack1 is not empty, push everything from stack1 to stack2.
2. Push x to stack1 (assuming size of stacks is unlimited).
3. Push everything back to stack1."
135,"# Python3 program to implement Queue using
# two stacks with costly deQueue()

class Queue:
        def __init__(self):
                self.s1 = []
                self.s2 = []

        # EnQueue item to the queue
        def enQueue(self, x):
                self.s1.append(x)

        # DeQueue item from the queue
        def deQueue(self):

                # if both the stacks are empty
                if len(self.s1) == 0 and len(self.s2) == 0:
                        print(""Q is Empty"")
                        return

                # if s2 is empty and s1 has elements
                elif len(self.s2) == 0 and len(self.s1) > 0:
                        while len(self.s1):
                                temp = self.s1.pop()
                                self.s2.append(temp)
                        return self.s2.pop()

                else:
                        return self.s2.pop()

        # Driver code
if __name__ == '__main__':
        q = Queue()
        q.enQueue(1)
        q.enQueue(2)
        q.enQueue(3)

        print(q.deQueue())
        print(q.deQueue())
        print(q.deQueue())

# This code is contributed by Pratyush Kumar
","enQueue(q,  x)
  1) Push x to stack1 (assuming size of stacks is unlimited).
Here time complexity will be O(1)

deQueue(q)
  1) If both stacks are empty then error.
  2) If stack2 is empty
       While stack1 is not empty, push everything from stack1 to stack2.
  3) Pop the element from stack2 and return it.
Here time complexity will be O(n)"

